id,name,firstName,lastName,party,state,district,chamber,title,url,inOffice,lastUpdated
,,,,,Tennessee,6.0,,,https://api.congress.gov/v3/member/R000612?format=json,False,2025-07-28T12:49:47.020022
,,,,,Tennessee,2.0,,,https://api.congress.gov/v3/member/B001309?format=json,False,2025-07-28T12:49:47.020028
,,,,,South Dakota,,,,https://api.congress.gov/v3/member/J000301?format=json,False,2025-07-28T12:49:47.020034
,,,,,South Carolina,4.0,,,https://api.congress.gov/v3/member/T000480?format=json,False,2025-07-28T12:49:47.020040
,,,,,South Carolina,5.0,,,https://api.congress.gov/v3/member/N000190?format=json,False,2025-07-28T12:49:47.020045
,,,,,Texas,19.0,,,https://api.congress.gov/v3/member/A000375?format=json,False,2025-07-28T12:49:47.020051
,,,,,Tennessee,8.0,,,https://api.congress.gov/v3/member/K000392?format=json,False,2025-07-28T12:49:47.020057
,,,,,Texas,20.0,,,https://api.congress.gov/v3/member/C001091?format=json,False,2025-07-28T12:49:47.020063
,,,,,Texas,14.0,,,https://api.congress.gov/v3/member/W000814?format=json,False,2025-07-28T12:49:47.020070
,,,,,Tennessee,4.0,,,https://api.congress.gov/v3/member/D000616?format=json,False,2025-07-28T12:49:47.020076
,,,,,Tennessee,3.0,,,https://api.congress.gov/v3/member/F000459?format=json,False,2025-07-28T12:49:47.020082
,,,,,Tennessee,9.0,,,https://api.congress.gov/v3/member/C001068?format=json,False,2025-07-28T12:49:47.020088
,,,,,Texas,17.0,,,https://api.congress.gov/v3/member/S000250?format=json,False,2025-07-28T12:49:47.020094
,,,,,Texas,10.0,,,https://api.congress.gov/v3/member/M001157?format=json,False,2025-07-28T12:49:47.020099
,,,,,Texas,9.0,,,https://api.congress.gov/v3/member/G000553?format=json,False,2025-07-28T12:49:47.020105
,,,,,South Carolina,6.0,,,https://api.congress.gov/v3/member/C000537?format=json,False,2025-07-28T12:49:47.020111
,,,,,Pennsylvania,7.0,,,https://api.congress.gov/v3/member/M001230?format=json,False,2025-07-28T12:49:47.020117
,,,,,Puerto Rico,,,,https://api.congress.gov/v3/member/H001103?format=json,False,2025-07-28T12:49:47.020122
,,,,,Oregon,3.0,,,https://api.congress.gov/v3/member/D000635?format=json,False,2025-07-28T12:49:47.020128
,,,,,Pennsylvania,8.0,,,https://api.congress.gov/v3/member/B001327?format=json,False,2025-07-28T12:49:47.020134
,,,,,Oregon,5.0,,,https://api.congress.gov/v3/member/B001326?format=json,False,2025-07-28T12:49:47.020140
,,,,,Rhode Island,1.0,,,https://api.congress.gov/v3/member/A000380?format=json,False,2025-07-28T12:49:47.020146
,,,,,Oregon,6.0,,,https://api.congress.gov/v3/member/S001226?format=json,False,2025-07-28T12:49:47.020151
,,,,,Rhode Island,2.0,,,https://api.congress.gov/v3/member/M001223?format=json,False,2025-07-28T12:49:47.020157
,,,,,Pennsylvania,12.0,,,https://api.congress.gov/v3/member/L000602?format=json,False,2025-07-28T12:49:47.020163
,,,,,Oregon,4.0,,,https://api.congress.gov/v3/member/H001094?format=json,False,2025-07-28T12:49:47.020168
,,,,,Pennsylvania,17.0,,,https://api.congress.gov/v3/member/D000530?format=json,False,2025-07-28T12:49:47.020174
,,,,,Oklahoma,2.0,,,https://api.congress.gov/v3/member/B001317?format=json,False,2025-07-28T12:49:47.020180
,,,,,South Carolina,1.0,,,https://api.congress.gov/v3/member/M000194?format=json,False,2025-07-28T12:49:47.020187
,,,,,Oklahoma,5.0,,,https://api.congress.gov/v3/member/B000740?format=json,False,2025-07-28T12:49:47.020193
,,,,,Oregon,2.0,,,https://api.congress.gov/v3/member/B000668?format=json,False,2025-07-28T12:49:47.020198
,,,,,Pennsylvania,14.0,,,https://api.congress.gov/v3/member/R000610?format=json,False,2025-07-28T12:49:47.020204
,,,,,Pennsylvania,13.0,,,https://api.congress.gov/v3/member/J000302?format=json,False,2025-07-28T12:49:47.020210
,,,,,Pennsylvania,9.0,,,https://api.congress.gov/v3/member/M001204?format=json,False,2025-07-28T12:49:47.020215
,,,,,Pennsylvania,4.0,,,https://api.congress.gov/v3/member/D000631?format=json,False,2025-07-28T12:49:47.020227
,,,,,Oklahoma,1.0,,,https://api.congress.gov/v3/member/H001082?format=json,False,2025-07-28T12:49:47.020234
,,,,,Pennsylvania,5.0,,,https://api.congress.gov/v3/member/S001205?format=json,False,2025-07-28T12:49:47.020240
,,,,,Pennsylvania,11.0,,,https://api.congress.gov/v3/member/S001199?format=json,False,2025-07-28T12:49:47.020245
,,,,,Pennsylvania,1.0,,,https://api.congress.gov/v3/member/F000466?format=json,False,2025-07-28T12:49:47.020251
,,,,,Pennsylvania,3.0,,,https://api.congress.gov/v3/member/E000296?format=json,False,2025-07-28T12:49:47.020257
,,,,,Pennsylvania,2.0,,,https://api.congress.gov/v3/member/B001296?format=json,False,2025-07-28T12:49:47.020263
,,,,,Pennsylvania,10.0,,,https://api.congress.gov/v3/member/P000605?format=json,False,2025-07-28T12:49:47.020269
,,,,,Oregon,1.0,,,https://api.congress.gov/v3/member/B001278?format=json,False,2025-07-28T12:49:47.020274
,,,,,Pennsylvania,16.0,,,https://api.congress.gov/v3/member/K000376?format=json,False,2025-07-28T12:49:47.020280
,,,,,Pennsylvania,15.0,,,https://api.congress.gov/v3/member/T000467?format=json,False,2025-07-28T12:49:47.020286
,,,,,Oklahoma,3.0,,,https://api.congress.gov/v3/member/L000491?format=json,False,2025-07-28T12:49:47.020292
,,,,,Oklahoma,4.0,,,https://api.congress.gov/v3/member/C001053?format=json,False,2025-07-28T12:49:47.020298
,,,,,South Carolina,2.0,,,https://api.congress.gov/v3/member/W000795?format=json,False,2025-07-28T12:49:47.020303
,,,,,Ohio,2.0,,,https://api.congress.gov/v3/member/T000490?format=json,False,2025-07-28T12:49:47.020309
,,,,,New York,19.0,,,https://api.congress.gov/v3/member/R000622?format=json,False,2025-07-28T12:49:47.020315
,,,,,New York,22.0,,,https://api.congress.gov/v3/member/M001231?format=json,False,2025-07-28T12:49:47.020321
,,,,,New York,16.0,,,https://api.congress.gov/v3/member/L000606?format=json,False,2025-07-28T12:49:47.020327
,,,,,Ohio,6.0,,,https://api.congress.gov/v3/member/R000619?format=json,False,2025-07-28T12:49:47.020332
,,,,,New York,26.0,,,https://api.congress.gov/v3/member/K000402?format=json,False,2025-07-28T12:49:47.020338
